Company Name,Industry,Symbol,Series,ISIN Code
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Rallis India Ltd.,Chemicals,RALLIS,EQ,INE613A01020
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Safari Industries (India) Ltd.,Consumer Durables,SAFARI,EQ,INE429E01023
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
